RVCA,1,voided,no-show,2024-09-30,08:39:58,2,dave,,,,2024-09-25,11:41:46,,2024-09-25,12:02:52,
RAST,1,finished,,2024-09-30,08:40:27,2,dave,,,,2024-09-25,12:02:53,,2024-09-25,12:45:36,dave
RCWO,1,finished,,2024-09-30,12:45:40,2,dave,,,,2024-09-25,12:45:47,,2024-09-25,12:51:37,dave
RCWO,2,finished,,2024-09-30,12:45:43,2,dave,,,,2024-09-25,12:51:38,,2024-09-25,12:51:42,dave
RAMT,1,finished,,2024-09-30,13:09:08,2,dave,,,,2024-09-30,16:23:39,,2024-09-30,16:23:51,
RAMT,2,voided,no-show,2024-09-30,13:09:36,,,,,,,,,,,
RHO,1,finished,,2024-09-30,13:09:39,2,dave,,,,2024-09-25,13:10:19,,2024-09-25,13:23:52,dave
RVCA,2,finished,,2024-09-30,13:09:56,2,dave,,,,2024-09-25,13:23:54,,2024-09-25,13:25:38,dave
RVCC,1,finished,,2024-09-30,13:10:00,2,dave,,,,2024-09-25,13:25:41,,2024-09-30,16:22:40,dave
RAST,2,voided,no-show,2024-09-30,13:10:03,,,,,,,,,,,
RAMT,3,voided,no-show,2024-09-30,13:10:10,,,,,,,,,,,
RAST,3,voided,no-show,2024-09-30,13:22:55,,,,,,,,,,,
PAMT,1,finished,,2024-09-30,13:23:30,2,dave,,,,2024-09-30,16:23:32,,2024-09-30,16:23:36,
